Time (s),Airflow (MAF) (g/s),Load (MAF) (g/rev),Manifold Air Pressure - Filtered (kPa),Mass Air Flow (g/s),Boost Target (kPa),Wastegate Duty Cycle (%),Air/Fuel Sensor #1 (λ),Injector Pulse Width (ms),Fuel - Base Multiplier,Power Mode - Fuel Ratio Target (λ),Fuel Trim - Long Term (%),Fuel Trim - Short Term (%),Coolant Temperature (°C),Intake Air Temperature (°C),Manifold Absolute Pressure (kPa),Engine Speed (rpm),Vehicle Speed (km/h),System Voltage (V),Ignition Advance (°),Ignition Advance - Base (°BTDC),Ignition Advance Multiplier,Ignition Advance - Fine Learn (°),Knock Retard (°),Throttle Position (%),Mass Air Flow Voltage (V),Fuel - Acceleration Enrich
0.000,20.28,0.63,70.9,20.33,109.9,32.0,0.977,3.33,0.680,1.000,0.00,-5.47,96,45,69.0,1876,4,13.60,36.0,38.0,0.88,0.0,0.0,12.50,2.18,0.000
0.042,19.98,0.65,73.3,20.04,109.9,32.0,0.977,3.33,0.680,1.000,0.00,-3.12,96,45,72.0,1780,4,13.60,36.0,37.0,0.88,0.0,0.0,12.50,2.14,0.000
0.104,19.72,0.68,76.0,19.54,109.9,34.4,1.008,3.33,0.680,1.000,0.00,-3.12,96,45,75.0,1701,4,13.52,33.0,34.0,0.88,0.0,0.0,12.50,2.18,0.000
0.166,19.39,0.70,79.3,19.13,109.9,36.7,1.070,3.58,0.680,1.000,0.00,-2.34,96,45,74.0,1610,8,13.60,32.0,34.0,0.88,0.0,0.0,12.50,2.14,0.000
0.229,18.81,0.72,81.3,18.81,109.9,36.7,1.023,3.58,0.672,1.000,0.00,-0.78,96,45,81.0,1594,8,13.60,30.0,31.0,0.88,0.0,0.0,12.50,2.12,0.000
0.299,18.45,0.74,83.3,18.43,109.9,39.5,1.016,3.58,0.672,1.000,0.00,0.00,96,45,83.0,1478,8,13.60,29.0,31.0,0.88,0.0,0.0,12.50,2.10,0.000
0.366,18.31,0.75,82.4,18.12,109.9,40.6,1.008,3.84,0.680,1.000,0.00,1.56,96,45,81.0,1436,8,13.60,28.0,30.0,0.88,0.0,0.0,12.50,2.08,0.000
0.442,18.02,0.76,83.7,18.08,109.9,40.6,0.992,3.84,0.680,1.000,0.00,3.12,96,45,87.0,1416,8,13.60,28.0,29.0,0.88,0.0,0.0,12.50,2.04,0.000
0.509,18.40,0.77,86.0,18.39,109.9,41.4,1.023,3.84,0.680,1.000,0.00,3.91,96,45,82.0,1417,12,13.52,27.0,30.0,0.88,0.0,0.0,12.50,2.08,0.000
0.581,19.70,0.76,88.8,19.66,109.9,39.5,0.984,4.10,0.680,1.000,0.00,5.47,96,45,82.0,1537,12,13.52,29.0,33.0,0.88,0.0,0.0,12.50,2.08,0.000
0.651,20.49,0.75,87.3,20.43,109.9,39.5,0.984,3.84,0.680,1.000,0.00,7.03,96,45,84.0,1666,12,13.60,31.0,33.0,0.88,0.0,0.0,12.89,2.12,0.000
0.723,20.49,0.73,79.7,20.46,110.9,37.9,0.969,3.84,0.680,1.000,0.00,7.81,96,45,83.0,1688,12,13.52,32.0,34.0,0.88,0.0,0.0,12.89,2.16,0.000
0.798,20.72,0.73,83.1,20.65,110.9,37.1,0.969,3.84,0.680,1.000,0.00,4.69,96,45,78.0,1736,12,13.60,32.0,34.0,0.88,0.0,0.0,12.89,2.14,0.000
0.869,21.27,0.72,78.4,21.58,110.9,37.1,0.930,3.84,0.680,1.000,0.00,3.12,96,45,81.0,1843,14,13.52,33.0,36.0,0.88,0.0,0.0,12.89,2.20,0.000
0.942,22.39,0.71,80.7,22.57,110.9,34.4,0.945,3.84,0.680,1.000,0.00,2.34,96,45,76.0,1916,14,13.60,35.0,37.0,0.88,0.0,0.0,13.28,2.24,0.000
1.017,22.93,0.71,78.0,23.07,110.9,33.2,0.945,3.58,0.680,1.000,0.00,1.56,96,45,78.0,1951,14,13.60,36.0,38.0,0.88,0.0,0.0,13.28,2.22,0.000
1.091,23.11,0.70,78.0,23.23,110.9,33.2,0.914,3.58,0.680,1.000,0.00,0.00,96,45,76.0,1998,14,13.60,36.0,38.0,0.88,0.0,0.0,13.28,2.24,0.000
1.166,23.69,0.70,76.0,23.91,110.9,32.4,0.938,3.58,0.672,1.000,0.00,-1.56,96,45,75.0,2074,16,13.60,37.0,40.0,0.88,0.0,0.0,13.28,2.26,0.000
1.239,24.28,0.69,81.3,24.27,110.9,29.7,0.914,3.33,0.672,1.000,0.00,-2.34,96,45,74.0,2146,16,13.60,38.0,41.0,0.88,0.0,0.0,13.28,2.28,0.000
1.315,24.42,0.68,74.7,24.42,110.9,29.7,0.961,3.33,0.672,1.000,0.00,-3.91,96,45,77.0,2183,16,13.60,40.0,42.0,0.88,0.0,0.0,13.28,2.36,0.000
