Time (s),Airflow (MAF) (g/s),Load (MAF) (g/rev),Manifold Air Pressure - Filtered (kPa),Mass Air Flow (g/s),Boost Target (kPa),Wastegate Duty Cycle (%),Air/Fuel Sensor #1 (λ),Injector Pulse Width (ms),Fuel - Base Multiplier,Power Mode - Fuel Ratio Target (λ),Fuel Trim - Long Term (%),Fuel Trim - Short Term (%),Coolant Temperature (°C),Intake Air Temperature (°C),Manifold Absolute Pressure (kPa),Engine Speed (rpm),Vehicle Speed (km/h),System Voltage (V),Ignition Advance (°),Ignition Advance - Base (°BTDC),Ignition Advance Multiplier,Ignition Advance - Fine Learn (°),Knock Retard (°),Throttle Position (%),Mass Air Flow Voltage (V),Fuel - Acceleration Enrich
0.000,263.43,0.00,287.3,263.43,107.7,0.0,1.523,0.00,0.609,1.000,0.00,0.00,-40,-40,255.0,25,0,20.40,10.0,0.0,0.50,0.0,0.0,7.81,5.10,0.000
0.052,263.43,0.00,286.9,263.43,107.7,0.0,1.523,0.00,0.609,1.000,0.00,0.00,-40,-40,255.0,25,0,20.40,10.0,0.0,0.50,0.0,0.0,7.81,5.10,0.000
0.106,263.43,0.00,286.9,263.43,107.7,0.0,1.523,0.00,0.609,1.000,0.00,0.00,-40,-40,255.0,25,0,20.40,10.0,0.0,0.50,0.0,0.0,7.81,5.10,0.000
0.165,263.43,0.00,181.3,263.43,107.7,0.0,1.523,0.00,0.609,1.000,0.00,0.00,-40,-40,255.0,25,0,20.40,10.0,0.0,0.50,0.0,0.0,7.81,5.10,0.000
0.228,263.43,0.00,287.3,263.43,107.7,0.0,1.523,0.00,0.609,1.000,0.00,0.00,-40,-40,255.0,25,0,20.40,10.0,0.0,0.50,0.0,0.0,7.81,5.10,0.000
0.298,263.43,0.00,286.9,263.43,107.7,0.0,1.523,0.00,0.609,1.000,0.00,0.00,-40,-40,255.0,25,0,20.40,10.0,0.0,0.50,0.0,0.0,7.81,5.10,0.000
0.368,263.43,0.00,286.9,263.43,107.7,0.0,1.523,0.00,0.609,1.000,0.00,0.00,-40,-40,255.0,25,0,20.40,10.0,0.0,0.50,0.0,0.0,7.81,5.10,0.000
0.439,263.43,0.00,181.3,263.43,107.7,0.0,1.523,0.00,0.609,1.000,0.00,0.00,-40,-40,255.0,25,0,20.40,10.0,0.0,0.50,0.0,0.0,7.81,5.10,0.000
0.509,263.43,0.00,287.3,263.43,107.7,0.0,1.523,0.00,0.609,1.000,0.00,0.00,-40,-40,255.0,25,0,20.40,10.0,0.0,0.50,0.0,0.0,7.81,5.10,0.000
0.581,263.43,0.00,287.3,263.43,107.7,0.0,1.523,0.00,0.609,1.000,0.00,0.00,-40,-40,255.0,25,0,20.40,10.0,0.0,0.50,0.0,0.0,7.81,5.10,0.000
0.652,263.43,0.00,287.3,263.43,107.7,0.0,1.523,0.00,0.609,1.000,0.00,0.00,-40,-40,255.0,25,0,20.40,10.0,0.0,0.50,0.0,0.0,7.81,5.10,0.000
0.724,263.43,0.00,286.9,263.43,107.7,0.0,1.523,0.00,0.609,1.000,0.00,0.00,-40,-40,255.0,25,0,20.40,10.0,0.0,0.50,0.0,0.0,7.81,5.10,0.000
0.798,263.43,0.00,286.9,263.43,107.7,0.0,1.523,0.00,0.609,1.000,0.00,0.00,-40,-40,255.0,25,0,20.40,10.0,0.0,0.50,0.0,0.0,7.81,5.10,0.000
0.872,263.43,0.00,181.3,263.43,107.7,0.0,1.523,0.00,0.609,1.000,0.00,0.00,-40,-40,255.0,25,0,20.40,10.0,0.0,0.50,0.0,0.0,7.81,5.10,0.000
0.945,263.43,0.00,287.3,263.43,107.7,0.0,1.523,0.00,0.609,1.000,0.00,0.00,-40,-40,255.0,25,0,20.40,10.0,0.0,0.50,0.0,0.0,7.81,5.10,0.000
1.020,263.43,0.00,286.9,263.43,107.7,0.0,1.523,0.00,0.609,1.000,0.00,0.00,-40,-40,255.0,25,0,20.40,10.0,0.0,0.50,0.0,0.0,7.81,5.10,0.000
1.096,263.43,0.00,286.9,263.43,107.7,0.0,1.523,0.00,0.609,1.000,0.00,0.00,-40,-40,255.0,25,0,20.40,10.0,0.0,0.50,0.0,0.0,7.81,5.10,0.000
1.170,263.43,0.00,181.3,263.43,107.7,0.0,1.523,0.00,0.609,1.000,0.00,0.00,-40,-40,255.0,25,0,20.40,10.0,0.0,0.50,0.0,0.0,7.81,5.10,0.000
1.244,263.43,0.00,287.3,263.43,107.7,0.0,1.523,0.00,0.609,1.000,0.00,0.00,-40,-40,255.0,25,0,20.40,10.0,0.0,0.50,0.0,0.0,7.81,5.10,0.000
1.320,263.43,0.00,287.3,263.43,107.7,0.0,1.523,0.00,0.609,1.000,0.00,0.00,-40,-40,255.0,25,0,20.40,10.0,0.0,0.50,0.0,0.0,7.81,5.10,0.000
1.394,263.43,0.00,287.3,263.43,107.7,0.0,1.523,0.00,0.609,1.000,0.00,0.00,-40,-40,255.0,25,0,20.40,10.0,0.0,0.50,0.0,0.0,7.81,5.10,0.000
1.469,263.43,0.00,286.9,263.43,107.7,0.0,1.523,0.00,0.609,1.000,0.00,0.00,-40,-40,255.0,25,0,20.40,10.0,0.0,0.50,0.0,0.0,7.81,5.10,0.000
1.543,263.43,0.00,286.9,263.43,107.7,0.0,1.523,0.00,0.609,1.000,0.00,0.00,-40,-40,255.0,25,0,20.40,10.0,0.0,0.50,0.0,0.0,7.81,5.10,0.000
1.618,263.43,0.00,181.3,263.43,107.7,0.0,1.523,0.00,0.609,1.000,0.00,0.00,-40,-40,255.0,25,0,20.40,10.0,0.0,0.50,0.0,0.0,7.81,5.10,0.000
